gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.025839420309282712e-01,-2.065586105196805244e-02,8.546812159385269725e-03
8.946257709383557966e-02,-6.023622223130877668e-02,1.359018636515907028e-02
-5.868084588577596183e-02,-7.178813392125048265e-02,-6.770748777796159468e-02
6.128991364884821963e-02,-5.819380306414165260e-02,-3.584778231121191205e-02
4.629308530359034171e-05,2.275024495327576321e-02,-6.805550828854218387e-03
1.396353606113909934e-02,-3.417914786977838126e-02,2.147026613910764728e-02
-4.412551181807605749e-02,6.539607268131564233e-02,-4.279059867946299889e-02
3.202274279328217593e-02,-3.794799267936452281e-02,-6.335844681166538650e-02
3.352534071919646003e-02,-6.946079998577721348e-02,1.738614966378803500e-02
-7.600321397830879511e-03,-4.624429947456750595e-02,2.599205334100267682e-03
1.345341307789733876e-02,8.686463293381058159e-02,5.643792219488950358e-03
3.178385786152176928e-03,6.178434720028987831e-02,7.150124423247367078e-02
-5.156405009299321746e-02,-2.097632341962148150e-02,8.711294259878391011e-02
-3.652970490578779511e-02,6.019766855153281700e-03,6.993793948204803101e-02
-1.215400005701314365e-03,-4.111169705129449903e-02,-2.958928532305778181e-02
-3.824745649712261303e-02,1.783358830520632640e-02,-1.390508700118708862e-02
3.620201972835726534e-02,1.005436848463238039e-02,1.980489247625281252e-02
5.321235514927258325e-02,-7.970401795509925169e-02,4.563583499095547752e-02
-1.019316211502011363e-02,4.164532208530005719e-02,3.744154538697056639e-02
-2.449793349389598612e-02,-2.782830458193840534e-02,7.680053060427519118e-02
-2.542033103403896002e-02,2.764539639110742339e-02,2.612820556383503925e-02
-1.886422178508865080e-02,-2.161703024962860487e-02,-3.856021604570773059e-02
5.036892293505992359e-03,3.573595123559409475e-02,-1.049976779901966306e-02
5.905747308261767928e-03,-2.609629646169001754e-02,5.601262056266254064e-02
-2.128711280302688844e-02,3.509336806381197632e-02,-5.583371654932483413e-02
1.292113965650468904e-02,5.101125255363262584e-02,4.136140648526674159e-03
3.616049735876617627e-02,-5.082514390254073283e-02,4.212801573967647067e-02
3.162744327512412301e-02,7.103284824945090177e-03,-2.588531273960463508e-02
-5.924397854893039689e-02,1.647653674373383836e-02,7.201010220243038440e-02
-1.837397845605340252e-02,3.510000410292761497e-02,-4.299433923744488267e-02
7.610450069448179353e-03,9.825524078679362394e-02,-2.154482867598988410e-02
3.025271608000896020e-02,2.538652088627556258e-02,9.461805314651471760e-03
6.862000116247162981e-03,2.903909164162923884e-02,-6.007336251299810748e-02
-6.452334360471408126e-02,-2.576982666203495812e-03,-7.830346825441208969e-02
2.935091173098290998e-02,3.298377553464316297e-02,-2.592136306685094080e-02
8.791932853198654307e-02,2.051527359352569094e-02,1.037230788033415979e-01
1.917599163768971687e-02,-2.669457322382427777e-02,-3.143806471339682853e-03
9.661718879819659531e-03,4.663027330217319605e-02,-3.252992412380086712e-02
4.589194508614614226e-02,1.186512785624621244e-02,3.917310140246978850e-02
-4.319175480753244950e-02,2.405636859632195174e-02,-1.544922169063574734e-02
6.902667276031969334e-02,-5.508873870158507990e-02,-2.486554047898323350e-02
1.430393373321162467e-02,2.929561192094063543e-03,-1.174522388180449829e-02
-2.017282561697420623e-02,3.554798673007280620e-03,-3.950162021124539041e-02
1.234616810178982248e-02,-2.834370870851016938e-02,1.616407704172564269e-03
1.702871081611752324e-02,8.527909324943730440e-02,4.423860906674144389e-02
6.251974948042814118e-02,4.588982661927806794e-02,-3.780967612715875614e-02
2.284182215873217445e-02,5.917199709769275368e-02,3.372106072646212371e-02
-3.662821550049288194e-02,6.759312945345888335e-02,-7.661079198844873706e-02
-1.394845074783628187e-02,-5.302512899176007634e-03,-1.104885895900294124e-02
-1.106680456499970107e-02,3.091825541982350101e-02,3.846034027461062849e-02
-7.573887032718206683e-05,-2.658620077151754510e-02,-3.328826505069013009e-02
3.036754759725777270e-02,-1.732149639539360894e-02,-2.038373029756180427e-02
7.221396465561114031e-02,-9.673184679313214657e-03,3.237983408873773561e-02
9.570338138060586683e-03,-2.380888578045055673e-02,-4.311694415854581963e-02
-7.512041244624251268e-02,-1.450875082641713693e-02,-6.105269045183389122e-03
-2.598949329061060742e-02,9.582449570759750401e-02,-1.561520940528770933e-02
-1.069779559754211080e-02,1.088696776758156341e-02,-3.349026932151628194e-02
-5.016939550376344967e-03,-4.069580201049929208e-02,1.371493572465171942e-03
-6.196533531498928798e-02,4.079549064097928723e-02,-1.258216787760212466e-02
4.195524931966132520e-02,-2.825039682327570162e-02,5.595578887789119660e-02
7.918920038374373249e-02,2.738361055898724458e-02,-5.464587679175485907e-02
3.329935331384709096e-02,4.749580183413619483e-02,2.341439530845781242e-02
4.003996542731774050e-02,4.866293794636905590e-03,-1.499733416348715369e-02
-1.483723853215926543e-02,2.574692865922230053e-02,-3.164051810551084948e-02
-2.403078866594684712e-02,2.590662477621540061e-02,-4.818761933615954562e-02
-1.807147399350312114e-02,-3.326348743502985546e-03,-2.617240577998170004e-02
3.703163156541045692e-02,3.592001304715058269e-02,4.181886919800013869e-02
2.304044684352681699e-02,-3.249081282463951031e-02,5.314313882348270599e-04
6.482932686300872660e-02,8.070763676458440894e-02,-1.313067479187011305e-02
-4.264020280264781831e-02,-1.948446255264128096e-02,9.245954038560087740e-02
5.811691756726652947e-02,8.381119748664508234e-03,-6.834141005518558354e-02
3.066982456819404221e-02,-1.210046400912057063e-02,6.881806636993634263e-02
