mag_x (uT),mag_y (uT),mag_z (uT)
3.257991373686572700e+01,-3.520638636967803325e+00,3.752141601811904081e+01
3.255868460599596403e+01,-3.534774346758835950e+00,3.754442582446809951e+01
3.256573760558179487e+01,-3.517388456085197568e+00,3.754420351781463694e+01
3.258992801769441883e+01,-3.539347682512485438e+00,3.752722202243289473e+01
3.258035011662208547e+01,-3.527959337462653888e+00,3.753835832608054091e+01
3.256891787923706261e+01,-3.533923510412202429e+00,3.753341109873318970e+01
3.258770605174595403e+01,-3.537002900810053418e+00,3.753819243914929871e+01
3.258121122404253356e+01,-3.518984875168466253e+00,3.756240120638923230e+01
3.257810074883787621e+01,-3.539780064435683826e+00,3.754853593231636921e+01
3.257501562160425834e+01,-3.528632261815272564e+00,3.751663462358209955e+01
3.257013776130592930e+01,-3.547405187483940292e+00,3.753980244724539261e+01
3.258730309773556399e+01,-3.542287768703623829e+00,3.754078468070778740e+01
3.259199606490629009e+01,-3.542645075306515068e+00,3.754945764154576437e+01
3.256819003798370460e+01,-3.532899991487532532e+00,3.754457763584098018e+01
3.259039310138377488e+01,-3.548944510861202772e+00,3.754048660357710787e+01
3.258886221304442188e+01,-3.545942210926175786e+00,3.754924655270320955e+01
3.257658314902229080e+01,-3.540886515444855220e+00,3.752327715450787338e+01
3.256366574230894173e+01,-3.539636827310288947e+00,3.753766945393432053e+01
3.258361129948384871e+01,-3.528513449230266996e+00,3.752946268033934984e+01
3.259660310979906939e+01,-3.528688742097123576e+00,3.754297408883694942e+01
3.258238146088069698e+01,-3.515586043323035259e+00,3.752971500748322597e+01
3.258247441748132189e+01,-3.540181830802186180e+00,3.755263401645737531e+01
3.257102624458829609e+01,-3.508540587316154369e+00,3.754888002482303477e+01
3.258036136502492042e+01,-3.514649583493890894e+00,3.755797639466268834e+01
3.257973225666265904e+01,-3.526543132120821156e+00,3.753876753622437690e+01
3.258236482465557060e+01,-3.542343437687026420e+00,3.752719407168714127e+01
3.256608592065051511e+01,-3.525948597335879064e+00,3.752728613123488799e+01
3.258037253036345504e+01,-3.547932304614246579e+00,3.753707296687273498e+01
3.258602663959033663e+01,-3.516143259257022091e+00,3.753659624873405676e+01
3.258841604891702559e+01,-3.550269967182589248e+00,3.752601775558387232e+01
3.258317287452049982e+01,-3.537105234836720236e+00,3.753301375266597262e+01
3.259161200451996621e+01,-3.542709673175065799e+00,3.754242203298617397e+01
3.259559003864917770e+01,-3.517674671809788656e+00,3.753647822428038694e+01
3.257876967988097761e+01,-3.536288664756982225e+00,3.753168011852887531e+01
3.258739875876681680e+01,-3.552132691008706100e+00,3.755518816588357112e+01
3.257929237829978319e+01,-3.543867655940310168e+00,3.752945678795877171e+01
3.258687088685969258e+01,-3.531927920175589097e+00,3.754932816564735276e+01
3.259223324612466399e+01,-3.539722264617609415e+00,3.752625317506203118e+01
3.258938429793214198e+01,-3.548886954482950440e+00,3.753526528065194867e+01
3.258251327889097126e+01,-3.535035981770245694e+00,3.754450176608508372e+01
3.258386594910655987e+01,-3.528291950810427124e+00,3.752863693358020925e+01
3.258986023758119899e+01,-3.543063853140709263e+00,3.754691493035038263e+01
3.259384896542950827e+01,-3.543260746809349104e+00,3.755304604118574474e+01
3.257256766877788579e+01,-3.531554311632542298e+00,3.753945907472901666e+01
3.257409573648712353e+01,-3.551278953368244728e+00,3.754752589599723933e+01
3.256809732736503804e+01,-3.553321266810558487e+00,3.753378958996355408e+01
3.258114990843898084e+01,-3.539800153154774254e+00,3.755265506151705779e+01
3.259139203843444932e+01,-3.530847389744775189e+00,3.753867431480210826e+01
3.258655208928550451e+01,-3.513849828073945858e+00,3.753848304425315519e+01
3.258904871064682141e+01,-3.543641970638698790e+00,3.753103093140526880e+01
3.257085088467029976e+01,-3.529011126893214279e+00,3.754682789648661867e+01
3.257273346218435250e+01,-3.539249326286030062e+00,3.752843236861031784e+01
3.258736883818571783e+01,-3.542364340874593953e+00,3.754067477072267422e+01
3.258659068677450676e+01,-3.538371920705541296e+00,3.752355387144350374e+01
3.258397194337744196e+01,-3.520470538302011843e+00,3.753227550871997664e+01
3.257222998814028614e+01,-3.532689720605346473e+00,3.755593597432522301e+01
3.256680061237494073e+01,-3.546463478079830534e+00,3.752866099973299185e+01
3.258243187724787049e+01,-3.543547565652088949e+00,3.753487711284169848e+01
3.257549713035502492e+01,-3.536845368032306869e+00,3.753917703318031585e+01
3.258178485010287773e+01,-3.568473966129268593e+00,3.752032082301676752e+01
3.258914008939060380e+01,-3.549738822108501779e+00,3.753720331192482007e+01
3.257628060372464773e+01,-3.520533706744246150e+00,3.754472718477463644e+01
3.259117214485295477e+01,-3.519315456105639672e+00,3.753541993025000778e+01
3.258013044165495131e+01,-3.543720285451157803e+00,3.752463984278602993e+01
3.258191613684554255e+01,-3.520112225783363247e+00,3.755679378182637151e+01
3.257182623657564591e+01,-3.554922969592122506e+00,3.752779911325159645e+01
3.260381100701854251e+01,-3.521569941916681046e+00,3.751905767333258268e+01
3.257131026690923647e+01,-3.517781820533732784e+00,3.753295486497473377e+01
3.257747025977951694e+01,-3.533968028853970544e+00,3.753783105026034406e+01
3.257789774789480219e+01,-3.529185237210890946e+00,3.753071309153665425e+01
3.257725123126496669e+01,-3.528489579223664574e+00,3.752915302407119924e+01
3.255437006129739785e+01,-3.536628171232222506e+00,3.751934625863487582e+01
3.259344367581125823e+01,-3.537349752902652966e+00,3.755705191804607779e+01
3.258659347874135648e+01,-3.536951863207498103e+00,3.753304969716213435e+01
3.256546525356210253e+01,-3.532484826943137257e+00,3.753514991543602264e+01
3.255595058652250628e+01,-3.556632106128016169e+00,3.753593204595424737e+01
3.257700337517891143e+01,-3.553056283317407971e+00,3.755691838435154040e+01
3.258002427546203705e+01,-3.541150105367582235e+00,3.753681474554641539e+01
3.257730036954133368e+01,-3.521877210870885566e+00,3.753191579725745441e+01
3.256766798067707924e+01,-3.513805836535663030e+00,3.754425507602102385e+01
3.257214649014862573e+01,-3.532026081540372342e+00,3.754110372083532354e+01
3.259078266666421086e+01,-3.512127899917438345e+00,3.752486588703231973e+01
3.259636324573265398e+01,-3.544438146704878889e+00,3.753202418889575398e+01
3.257648210215884177e+01,-3.540267757788583936e+00,3.754367919985001123e+01
3.260589582893232574e+01,-3.536339864091938345e+00,3.756299752321637442e+01
3.256428953860105224e+01,-3.548923706188992000e+00,3.752414713812284219e+01
3.258400666720844185e+01,-3.537203412471239705e+00,3.753273721270147689e+01
3.258880457284135446e+01,-3.559968993398203718e+00,3.753882677857506422e+01
3.257992731647872375e+01,-3.535442338376579396e+00,3.753905017438456326e+01
3.259654576281987204e+01,-3.527473538608888237e+00,3.753719956097232568e+01
3.258316197003411929e+01,-3.514422760272077895e+00,3.753361002791283596e+01
3.258405010972911242e+01,-3.536906399273090251e+00,3.752890125556737644e+01
3.258305626470998106e+01,-3.529527379874743520e+00,3.752861798619220224e+01
3.257943969743790547e+01,-3.517534236172338957e+00,3.753275210945639628e+01
3.258890517230213391e+01,-3.517259648567639285e+00,3.751708830620795254e+01
3.256542344048752113e+01,-3.545669372882442438e+00,3.753550695001388959e+01
3.258366340327187771e+01,-3.527892561926460502e+00,3.752583690252356519e+01
3.258850334023073003e+01,-3.532452904733838217e+00,3.752986245055392089e+01
3.256389951203523481e+01,-3.542021728840524020e+00,3.754006182660138080e+01
3.258048429613007357e+01,-3.527792954438255801e+00,3.754480291885958820e+01
3.258241596333712664e+01,-3.525660118032252655e+00,3.754741914937679326e+01
3.258550667766614595e+01,-3.539679596608210410e+00,3.752370255421758571e+01
3.257170614446437895e+01,-3.529345267990771973e+00,3.753690839121553324e+01
3.257953024495680694e+01,-3.528193620709148437e+00,3.752864674309131487e+01
3.259486655700846569e+01,-3.536800649346929504e+00,3.753575388345492314e+01
3.258862432248236018e+01,-3.537944933891284727e+00,3.753998053086667852e+01
3.258795024396985696e+01,-3.523360924275099837e+00,3.754819906263525553e+01
3.257041362581784227e+01,-3.534866532026571306e+00,3.754162563466898206e+01
3.259379433935619375e+01,-3.535999617169365283e+00,3.753763769759921587e+01
3.255944575368513227e+01,-3.521326809240899358e+00,3.755487086554956733e+01
3.257489541981267678e+01,-3.521977058462681498e+00,3.753783032606529702e+01
3.257712302195266574e+01,-3.541493840992925968e+00,3.753353524502490046e+01
3.259833076620061831e+01,-3.539081620348177637e+00,3.752136739258892106e+01
3.258476817295575501e+01,-3.524313677233994913e+00,3.753898669302708413e+01
3.258711470327801862e+01,-3.539377366830876781e+00,3.752673839421488822e+01
3.259047074922418119e+01,-3.553387979086348736e+00,3.754997190361831372e+01
3.258148331533404019e+01,-3.527271245409803857e+00,3.754042548510535227e+01
3.258372062278710501e+01,-3.549522066577150525e+00,3.754866510941587165e+01
3.256644446976219598e+01,-3.543635042918100275e+00,3.752593087640686065e+01
3.258982228295668904e+01,-3.538601119987681898e+00,3.752234750130724450e+01
3.258703623318040599e+01,-3.549555731803426095e+00,3.752843331711443398e+01
3.257630079248583144e+01,-3.545291349307712281e+00,3.754471987350802920e+01
3.258471519715146769e+01,-3.542157301846851514e+00,3.753869148667975253e+01
3.257822443654263367e+01,-3.515725932395749709e+00,3.755381652714672924e+01
3.257257876181708411e+01,-3.523097727425058334e+00,3.753335145081692303e+01
3.259216278390326238e+01,-3.525417947235936378e+00,3.755390884739638580e+01
3.257411976900097272e+01,-3.530472098602760234e+00,3.753436203579563113e+01
3.256680255943047797e+01,-3.531387310673420821e+00,3.753619608274271258e+01
3.258035186430925734e+01,-3.538044595702484862e+00,3.751837716629772501e+01
3.257479625908381138e+01,-3.547773138190989162e+00,3.753364007667858004e+01
3.257684283205652065e+01,-3.541952129542700778e+00,3.753221342736600974e+01
3.257262024645258691e+01,-3.533575955922973133e+00,3.753981746265627351e+01
3.258848889332798393e+01,-3.530369678100448105e+00,3.755267247206236192e+01
3.261863246238304725e+01,-3.533138554772327744e+00,3.755277680961923181e+01
3.259816216787416465e+01,-3.538631671817285884e+00,3.753456482434690855e+01
3.258715771171463160e+01,-3.549922985501160255e+00,3.754322705635327395e+01
3.257594516555397490e+01,-3.523512230122445743e+00,3.754258499539356109e+01
3.259773439224758818e+01,-3.531333380660360621e+00,3.752376501378913787e+01
3.257315232189132814e+01,-3.530820863650323549e+00,3.754305086288247395e+01
3.259203809185756739e+01,-3.548496303011440478e+00,3.754750232909507446e+01
3.258413577995989385e+01,-3.530579078381404390e+00,3.754083956926634613e+01
3.258759443356727559e+01,-3.544181568431775009e+00,3.751746819867228311e+01
3.258989519941688684e+01,-3.539463468525029910e+00,3.756536062173699264e+01
3.256246362683329210e+01,-3.544245276923434940e+00,3.751955857261509664e+01
3.257845399420212118e+01,-3.521485513777675713e+00,3.754252815870805193e+01
3.256437990644433711e+01,-3.523948872627320483e+00,3.754946935729106627e+01
3.257181649912376287e+01,-3.538578815922173604e+00,3.755789073352146090e+01
3.258432747515130501e+01,-3.525690510748751727e+00,3.753745467214682918e+01
3.257674985127027867e+01,-3.539847805148359949e+00,3.753875900191176385e+01
3.258940086778287792e+01,-3.523439367843126835e+00,3.754242664189219880e+01
3.260250043055030744e+01,-3.537290665830090219e+00,3.754007089026603694e+01
3.258540709368547539e+01,-3.545877076923479976e+00,3.754136556830993499e+01
3.258093607594508256e+01,-3.548307529519854508e+00,3.751568100220640645e+01
3.256627551485934902e+01,-3.513944251625917836e+00,3.754291372364750856e+01
3.259344622393273738e+01,-3.537927724375478977e+00,3.753136713761450238e+01
