accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-4.315477658113900578e-04,7.300976235395375755e-03,-9.795029335101196111e+00
4.560069095204104077e-03,7.526021081417308151e-04,-9.799492810412836263e+00
1.916349011324352614e-03,6.159509243838701478e-03,-9.800568862105773604e+00
9.832631972764886100e-04,-1.949873975380250930e-03,-9.795947442505225311e+00
9.297852069243821294e-03,-6.489385435881670459e-03,-9.789117957552683436e+00
-6.300869389571437350e-03,9.712600919611601982e-04,-9.781295975513694785e+00
-5.365929482503595423e-03,-9.719230482321053466e-03,-9.800848867072771142e+00
-4.804720291445490959e-04,-4.212309960018305321e-03,-9.803413829871328034e+00
8.091864304881514827e-03,3.551685372995380847e-04,-9.793549127805182053e+00
1.573433656249164552e-03,-9.139614056044496199e-03,-9.792273376641967175e+00
-1.074158479092639749e-02,7.752936941308218206e-03,-9.792701831666949630e+00
-3.645123663111502019e-03,3.510061912565527568e-03,-9.785087867638631920e+00
3.867106809901702923e-03,-1.816408867000981900e-03,-9.786848037666596056e+00
7.872588512947500256e-03,-9.823105788948225867e-05,-9.799900113377196575e+00
-4.143885844518778623e-03,-2.713906929817881414e-03,-9.791608816337351584e+00
2.383800140900480674e-03,1.389638167066799788e-02,-9.791864071402132552e+00
-1.371872937922652197e-03,-2.663705332385681631e-03,-9.787759005822616487e+00
-1.182014506308678471e-03,-1.488024765705927600e-03,-9.798505401252073810e+00
5.605658154401557854e-04,-2.330418031362621167e-03,-9.791234439253726052e+00
2.304202207494365860e-03,6.730905146352992793e-03,-9.792819561336992606e+00
5.619826337271136008e-03,-1.030149390694013074e-02,-9.798818756242694050e+00
-3.406884821251622477e-03,2.153512243016649560e-03,-9.792714051714359158e+00
2.685115316653304777e-03,-1.258899350601871492e-03,-9.786861591126196913e+00
-7.380998354781393442e-04,-3.290631706955598687e-03,-9.793918854958148401e+00
2.381485239941267184e-04,1.460938084847737510e-03,-9.795251849322223592e+00
-8.511188527135962853e-05,1.641413564665316119e-04,-9.793218366015606691e+00
7.180816839792372383e-03,-5.586244940640264223e-03,-9.787085834634863701e+00
7.348136218573156006e-03,-1.813673801755605287e-03,-9.799120456922397082e+00
