gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200004018213424928e+01,1.200000638707610960e+02,-9.375956578487345539e+00,3.300148110565282594e-02,6.193653080152081158e-02,1.006685677452530403e-02
3.199996409746310277e+01,1.200000295815324449e+02,-4.733997656636111273e+00,-3.284363261518151531e-03,2.131607574876412739e-02,7.196406956466215588e-02
3.199997491017743556e+01,1.199999925174141282e+02,1.489144618416156618e+01,-2.955749375000310195e-02,7.115094552432402533e-03,5.589235090020080489e-03
3.200001526935100316e+01,1.200000807284882143e+02,6.037446638800169296e+00,1.348632838942671192e-02,2.382728831001797165e-02,-1.109633025391196376e-01
3.200006291705200567e+01,1.199999947251822050e+02,7.216302063148036794e-01,-2.492883481095445330e-02,-1.104237611965980803e-01,9.239468724925611540e-03
3.199998907066113318e+01,1.200000990564058725e+02,-7.719330809122531001e+00,-3.016204945133240181e-02,4.537820237466579087e-02,-2.920543464564811717e-02
3.199998223041694345e+01,1.199999060392070618e+02,-9.890088072857302626e-01,-1.987460822457009710e-02,2.431136951118229028e-02,6.975946686585168810e-02
3.199993125049804021e+01,1.200000165409258415e+02,1.440040029666716404e+00,-3.381187109979087030e-02,-6.331356921148838246e-02,-4.065161117169346916e-02
3.199998785482458530e+01,1.200000316486174228e+02,4.869295091473668791e+00,9.775328873501971938e-03,3.475624692397814158e-02,1.739176552865760381e-02
3.200005043448071973e+01,1.200000757513803080e+02,-3.011364686388549483e+00,4.687329113685347742e-02,4.321601210920954228e-02,-6.361351417265521946e-02
3.200002385928646476e+01,1.199999294677834740e+02,-1.269884271835135792e+01,-2.083224675186548525e-02,1.259902092180105182e-01,-1.287481745958233214e-04
3.199990488058470106e+01,1.200000267817233066e+02,2.739618016855767557e+00,8.161207560125591232e-02,1.835825292890483004e-02,3.708641544371948234e-02
3.199999221562462992e+01,1.199999890333848072e+02,-4.525354515858382443e-01,6.268167883616497515e-02,7.153747577279043202e-02,8.878817782708966003e-03
3.200006177041333899e+01,1.200000733011018923e+02,-1.173637858263852696e+00,-6.287969694604353399e-02,3.448843450012917256e-02,-7.021952031040885889e-02
3.199997106579190032e+01,1.199999797587748702e+02,-9.781275025965342707e+00,-2.387951182186053272e-03,-2.840388123456766972e-02,6.200693255751772714e-02
3.199998846794517959e+01,1.200000174229467547e+02,3.894794345077487119e+00,2.037380456803549247e-02,8.188586483307946917e-02,-3.468652324524155312e-02
3.200004885635684104e+01,1.199999572944744557e+02,-9.953520771213014484e+00,4.984146878057488239e-02,-2.713309651436090694e-02,3.141526395707368996e-02
3.200004235362397509e+01,1.199999399566040097e+02,1.587541170673713253e+00,-3.929053722040491692e-02,-2.320088982531369297e-03,8.303810037211685133e-03
3.199992391040444062e+01,1.200000001044224831e+02,-6.140231207119042800e+00,-7.746639034998715340e-03,-5.826276762167659218e-02,-3.705838082279144102e-02
3.199999159816960770e+01,1.200000624054172675e+02,-3.311209464397581126e+00,5.781365325046630699e-02,3.065813369936839020e-02,-4.191377721962785685e-02
3.200002461151493094e+01,1.200000284079731614e+02,-2.963119397888215989e+00,2.118918893241130211e-02,3.077634114008203844e-02,-8.644383978304188976e-02
3.199996204208511585e+01,1.199999992131980378e+02,1.385778971655276859e+00,-4.293501014540462846e-02,-5.505760856299468653e-02,-9.433427068119140668e-02
3.199998864085193162e+01,1.199999070778249433e+02,1.089937280805559894e+01,5.443385349427262709e-02,2.665816604175189064e-02,-9.496141599799305666e-02
3.199998998428432984e+01,1.200000156861109559e+02,1.078902750226428431e+01,-1.588156078250800227e-02,2.871596897304798390e-02,-4.854738983575716121e-02
3.199997543627739560e+01,1.199999784930419793e+02,9.313321752535642872e+00,-2.410702330195014370e-03,9.553512468779687059e-04,-3.880225539011694647e-02
