mag_x (uT),mag_y (uT),mag_z (uT)
3.244800398663434748e+01,-3.411332864761692285e+00,3.729757862776420296e+01
3.269874498319234135e+01,-3.579644005189226430e+00,3.753349293562200018e+01
3.247024940998109344e+01,-3.698159400672115904e+00,3.758008140309186729e+01
3.263104775726863238e+01,-3.459490200608203114e+00,3.752046921296954451e+01
3.254494406338132961e+01,-3.503402051225751990e+00,3.743717871475616477e+01
3.266118361712809559e+01,-3.550509336860460774e+00,3.770610559080109425e+01
3.264203844127075627e+01,-3.651573438276064731e+00,3.754986088528788457e+01
3.249137209788997183e+01,-3.512619610381969348e+00,3.761481474384248003e+01
3.254894405574469118e+01,-3.473233160757999816e+00,3.775341032210513958e+01
3.244907328772769972e+01,-3.614638910371376301e+00,3.766116179087205751e+01
3.261972535273529417e+01,-3.408260418021409333e+00,3.746778026627169567e+01
3.250852799738867560e+01,-3.594496688070404122e+00,3.771842471534152708e+01
3.248748494339174187e+01,-3.545327939742314527e+00,3.740308837928719754e+01
3.244638977839086635e+01,-3.529398516492730398e+00,3.757782818938200364e+01
3.250754494804052541e+01,-3.532109272296994895e+00,3.760783758811712829e+01
3.260337375871540644e+01,-3.592478815753335830e+00,3.763045977453573698e+01
3.263538319218966421e+01,-3.674824946337732712e+00,3.738532157016952340e+01
3.245090105943990721e+01,-3.332320643870548604e+00,3.772228604645189165e+01
3.263215684416900331e+01,-3.587759296955995936e+00,3.753604451403263198e+01
3.255536707665871177e+01,-3.533275695682549511e+00,3.744010646126269393e+01
3.274505250355293384e+01,-3.435956535440188642e+00,3.756039449086835447e+01
3.245415843035334547e+01,-3.532863828016664431e+00,3.747675983175251702e+01
3.256989359036676035e+01,-3.406301843964623099e+00,3.748278686359003586e+01
3.253914895130690610e+01,-3.525999783451259528e+00,3.764118101386078052e+01
3.262126121867726170e+01,-3.611638686493663819e+00,3.754442551037730169e+01
3.248407944877531150e+01,-3.564669099762460824e+00,3.770736183092968474e+01
3.275085851782743163e+01,-3.548012755137680330e+00,3.744334121214961186e+01
3.243311121654292606e+01,-3.545306333899517881e+00,3.750299690948307330e+01
3.259552412346137373e+01,-3.563449608364815724e+00,3.745238250938066216e+01
3.254352694965069759e+01,-3.471364464590559695e+00,3.759341514228320591e+01
3.249111024991379537e+01,-3.561391447979652458e+00,3.765808176194081369e+01
3.284620542610836225e+01,-3.680331495378010409e+00,3.744335177984017093e+01
3.259611749973704065e+01,-3.577537806046283464e+00,3.758405148852191502e+01
3.245494346859408807e+01,-3.665028481533795901e+00,3.759189961354167764e+01
3.256686065343915715e+01,-3.480072355585207333e+00,3.747001849798252948e+01
3.258353268399255143e+01,-3.428486108500221174e+00,3.745539885859895435e+01
3.263308663607652704e+01,-3.604376709276637225e+00,3.748823212001635596e+01
3.253665858921616660e+01,-3.405354880306722176e+00,3.761955360797755787e+01
3.267056335298673275e+01,-3.431203937332271803e+00,3.757994278103191022e+01
3.266866965688592472e+01,-3.430674848463058257e+00,3.762943998335927631e+01
3.267835122934709347e+01,-3.338277616905148459e+00,3.735403602847033255e+01
3.268674100831716345e+01,-3.542025659796746329e+00,3.752697363370650407e+01
3.269133366372950178e+01,-3.417353688446822968e+00,3.754514884448489198e+01
3.264457296306763823e+01,-3.598447955151094835e+00,3.745857137113067381e+01
3.260720011940180285e+01,-3.483044030949725922e+00,3.763315236739927627e+01
3.263908424797921271e+01,-3.502123387800334164e+00,3.755360407569973091e+01
3.248028283416664408e+01,-3.523542558121786517e+00,3.746893059776928681e+01
3.246752554015980508e+01,-3.639850896551521942e+00,3.771037881086339638e+01
3.252297141795354207e+01,-3.424233873992691635e+00,3.748900703625458419e+01
3.253804085881078834e+01,-3.735139417976927056e+00,3.750908738689178534e+01
3.249304789527184312e+01,-3.557328233890526104e+00,3.752052825614484988e+01
3.261101788275621516e+01,-3.572733352522795780e+00,3.755151745232254967e+01
3.254176277643366433e+01,-3.499969561150171327e+00,3.750034578017723419e+01
3.249939823287270002e+01,-3.410908082740124136e+00,3.756014235819355918e+01
3.252266098081821610e+01,-3.424622158807292038e+00,3.776827757240782546e+01
3.266714112447849061e+01,-3.490216244557866609e+00,3.758862481889899243e+01
3.251165390791120302e+01,-3.469985199603252912e+00,3.762113976449825969e+01
3.269735731065802753e+01,-3.469456560035680148e+00,3.745812765527757904e+01
3.256699729968392631e+01,-3.532010931503505979e+00,3.765435033543662513e+01
3.273341550689454493e+01,-3.469949600902817011e+00,3.750444693067868940e+01
3.264354782312172887e+01,-3.541233178452852570e+00,3.744619265345466630e+01
3.257140577397666448e+01,-3.612516627296654903e+00,3.757301056128830652e+01
3.274427748500185942e+01,-3.462038992956931072e+00,3.760064578309010130e+01
3.271102136624777756e+01,-3.519808517093630407e+00,3.746709743828084527e+01
3.252613309093093363e+01,-3.397151771213645421e+00,3.753357095926607201e+01
3.258474905113824605e+01,-3.594796584921411853e+00,3.765619663841277998e+01
3.256285256993002264e+01,-3.440912980204628102e+00,3.754980802380846683e+01
3.252287457837137907e+01,-3.436809085882717163e+00,3.766240103305759845e+01
3.266490813814267824e+01,-3.485877037137315337e+00,3.743924549277640068e+01
3.254023804799571451e+01,-3.652181430363171888e+00,3.750651954989145764e+01
3.256552716969879668e+01,-3.504897534178783580e+00,3.756720279239706173e+01
3.258262421769354233e+01,-3.654810908903258770e+00,3.729250198943744721e+01
3.269915047866673774e+01,-3.581571484888245394e+00,3.740260755685518745e+01
3.256601335895702931e+01,-3.680515954504652409e+00,3.751977859565352702e+01
3.252877315021765270e+01,-3.249983081079316438e+00,3.762176313730246591e+01
3.272956400843519731e+01,-3.479575479297942309e+00,3.753410075954036529e+01
3.254037599228243494e+01,-3.511585712106591650e+00,3.770670833207287842e+01
3.268384430381366457e+01,-3.627470081905096677e+00,3.755615833745343934e+01
3.258422425321558791e+01,-3.488545439121039760e+00,3.749329716350136010e+01
3.255768219304862754e+01,-3.586541003007268191e+00,3.756994886078809515e+01
3.265760642366430488e+01,-3.555822125343348183e+00,3.764009347154673435e+01
3.249351397369596839e+01,-3.325784971192703221e+00,3.754207488897210965e+01
3.270191900422258158e+01,-3.591857300382619300e+00,3.747988467545645364e+01
3.254983052507641617e+01,-3.527043100231431527e+00,3.748142584083377926e+01
3.262318445860509541e+01,-3.467134960401833776e+00,3.754744273893864204e+01
3.244194944991911456e+01,-3.463177488233719181e+00,3.745261927733289298e+01
3.263485181361133414e+01,-3.450740979145138443e+00,3.778904173550436951e+01
3.262046435786018606e+01,-3.581840658640787822e+00,3.733645891781063852e+01
3.271760689101341057e+01,-3.613811242268476498e+00,3.755932079383998712e+01
3.246706411756618849e+01,-3.776541555791982141e+00,3.765202410228688024e+01
3.265135014960245030e+01,-3.473193822061989344e+00,3.764140469232100372e+01
3.271318908602330566e+01,-3.619629678149587804e+00,3.758347016275769903e+01
3.242957899217721973e+01,-3.678046840231462777e+00,3.766328321079732433e+01
3.281510747543745055e+01,-3.576189498565164993e+00,3.748092046159934654e+01
3.243005873882482604e+01,-3.666695123184081417e+00,3.766526852738373776e+01
3.253468112775955490e+01,-3.578163708553177891e+00,3.775725214367102467e+01
3.268535026550678424e+01,-3.505648113909316521e+00,3.765865202268037848e+01
3.251081103878828316e+01,-3.461813530727217980e+00,3.756078354213278914e+01
3.260238746168428037e+01,-3.639873124647116764e+00,3.730620031798865455e+01
3.257451524638552343e+01,-3.439031868010977711e+00,3.774712593193406462e+01
3.246144390019797044e+01,-3.535430228081178239e+00,3.768537986737423040e+01
3.248274578353768760e+01,-3.497816922064908240e+00,3.763892964329971846e+01
3.244322171009142153e+01,-3.471328879968229586e+00,3.767924216194874276e+01
3.249306686226214680e+01,-3.520377945646037343e+00,3.752774167687054785e+01
3.270056485692990123e+01,-3.606473335172398986e+00,3.756626801119778492e+01
3.255419108960309416e+01,-3.631001919726339455e+00,3.740118159344269344e+01
3.273258280273680043e+01,-3.471967023798188112e+00,3.751080412924092400e+01
