gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200003608209085115e+01,1.200000253651455324e+02,1.014670100045866885e+00,5.648997515227405231e-02,-3.202573313104225064e-03,-3.987327960356669768e-03
3.200009675039293455e+01,1.199999448091544281e+02,5.721066168572301436e+00,4.370782811794888395e-03,4.638156074296850145e-02,3.927921172578791031e-02
3.200004517011291938e+01,1.199999561481709236e+02,-4.141503725269596536e+00,-5.202007874274355848e-02,-1.423426143838141950e-02,-4.872032096844122057e-02
3.199996664627042975e+01,1.199999821681625320e+02,3.186943684966745405e+00,-7.586602950016635427e-02,3.127427071475005066e-02,-3.746217856153915421e-02
3.199999903361075582e+01,1.200000589769549748e+02,6.255721201230880268e+00,-3.637450931934094970e-03,-7.735651550160891309e-03,1.054327865185146901e-01
3.199995443923807059e+01,1.199999872652107200e+02,3.928326552528779381e+00,-1.315998214638261325e-02,-2.769339016972731729e-02,5.302796200377560970e-02
3.199995798171930517e+01,1.199999879039968533e+02,6.272042434349032192e-01,-2.461249902172576651e-02,-2.656049448373814029e-02,2.740647895238270890e-02
3.199990311058303050e+01,1.199999878507868658e+02,-1.268269428653508157e+01,1.485021320278023717e-03,8.511943899033985739e-02,9.915674649046232747e-02
3.200003384668718809e+01,1.200000327096543771e+02,6.167899230117442677e+00,-4.581247110991532034e-02,1.502805679024938994e-02,-4.604701752310016993e-02
3.199999817546692071e+01,1.199999318816819454e+02,1.817966452508734454e+00,5.646122461381988984e-03,7.349033132730511952e-03,-6.768561995741501081e-02
3.200000742221855177e+01,1.199999426304687518e+02,1.379223525756752888e+00,1.064524325955441553e-01,6.019324938320304297e-02,-3.569327015798808705e-02
3.199999461881699148e+01,1.200000611432625988e+02,2.786413207269968773e+00,-5.673637395826735402e-02,-5.562325876198748187e-02,-1.799794937972938602e-02
3.199998106986614133e+01,1.200000119592065460e+02,-9.687838196117148470e+00,6.895813641219786239e-03,6.548843245389844581e-02,-6.848419667925485788e-02
3.200001441421795079e+01,1.200000821202395827e+02,2.496355445838014830e+00,-1.972338723111279751e-03,-1.469318870131568200e-01,-7.007468626401597289e-02
3.200000750354656276e+01,1.199998915814853575e+02,-9.207156594591500820e+00,3.255225373937695871e-02,2.101679085341990466e-02,-7.284601335190463156e-02
3.200000901182892932e+01,1.200000848672863185e+02,-5.334332147329342355e+00,1.108230086943492532e-03,1.018899529622216416e-02,-4.077498149186600807e-02
3.199990051893458798e+01,1.200000349818278096e+02,-1.097249677184087169e+00,4.670514249616100622e-02,-5.711946774790826326e-02,-4.909535566233015624e-02
3.200001970488298753e+01,1.200000016461227546e+02,-1.371639019520143243e+01,3.876729029698141454e-02,8.588978308003251960e-03,-9.547897798549751999e-03
3.200001738696711584e+01,1.199999981045007473e+02,2.868164395847134784e+00,-3.157240142499281171e-02,-1.321847986770098397e-02,-5.418893583019665505e-02
3.200002260260850306e+01,1.200000601464802656e+02,-6.357613450798853094e+00,7.230416524030033876e-02,-7.476906827888950280e-03,-4.890480980463994543e-02
3.200005108393070685e+01,1.200000190657283667e+02,5.203023343387187971e+00,-4.817430343693934053e-02,3.847639939978605983e-02,-1.499138268791123767e-02
3.199997868898306663e+01,1.199999191828567575e+02,-2.871088090726956477e+00,-4.787866562993942088e-02,-3.902829121705664317e-02,-1.268354822090819733e-02
3.199990548794953682e+01,1.199999338750906901e+02,-7.141128007084176055e+00,5.387994126601513417e-02,-3.665148088457811232e-02,-2.660717966267175591e-02
