gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.286073331371459794e-01,8.867354867470125801e-02,7.988515774916855883e-02
-5.245292642415961409e-02,-7.451696954512403159e-02,3.635513984166346968e-02
3.828478728826120725e-02,8.338245508996811051e-03,2.507186330000337263e-02
-2.807426094128144811e-01,5.933584642554175226e-02,2.072195494066809140e-01
7.622917578593199628e-02,-1.492785104812843211e-01,7.423846580867766998e-02
-1.017819448912847119e-01,-2.390680190065179178e-01,-1.309240653848807445e-01
1.447159427742371329e-02,-9.653072934109824255e-02,-6.718613746510410101e-02
-1.087514808693745560e-01,-1.614840383325316098e-01,1.541608685170927362e-01
-3.920532044413021361e-02,1.017277228950812934e-01,-8.348143949018706211e-02
-1.301122422665097478e-01,-1.246257128677702025e-01,3.769839512243828433e-02
1.311141019823447162e-01,-5.049985738740001007e-02,-5.922664491969099193e-02
8.295654261676962613e-03,8.095788908192269595e-02,2.170954399557137593e-01
1.607632844759778953e-02,-6.111304001283807130e-02,4.654550445444836926e-02
6.016866631210931321e-02,7.850564277964701410e-02,9.445510591057698635e-02
-6.109364344458208251e-02,1.737055126896874246e-01,-4.879848514505624735e-02
1.149784525669048235e-01,2.551426689534111794e-02,1.098898837378422394e-02
4.692587767429340362e-02,-1.823693570653010798e-01,-1.559641937796338654e-02
7.401556880060859711e-02,-4.352732805788057935e-02,-1.646237649230321287e-01
1.040103522850199524e-01,2.471571881930647099e-02,1.273687706203933123e-01
1.259917404801118995e-02,-7.967833390314287001e-02,9.029259069546424765e-02
-6.295946484593284431e-02,-2.262704213369947093e-01,1.508702111159632708e-01
-7.146407887453908037e-02,2.046161099447891540e-01,1.422463032991369281e-01
8.226908117257125674e-02,-3.030256754898533883e-02,-4.649465102944110723e-02
5.893974016020833706e-02,-1.998641182392721927e-01,-2.085392217030636874e-01
2.034743049442719331e-01,-4.985670482572992362e-02,1.954950696388338682e-01
-1.970415536431250336e-01,-1.293783049427897347e-01,-9.035209484256370716e-02
-2.439676460938599301e-01,1.145466208341368586e-01,-5.682283627694315747e-02
1.532774013215887354e-01,2.801492489255879778e-03,7.796511238119743781e-02
-1.078503540031149482e-01,6.080276867703946625e-02,-3.752557145157129487e-02
2.165089084566290401e-01,-3.374737657948809894e-02,2.006914704424685170e-02
1.100183521996499561e-02,-1.055916541509432510e-01,5.340196305867725424e-02
9.255062358202370554e-02,2.077868626199025348e-01,3.595739291482850652e-01
2.450218432245778247e-02,-5.062374530598122424e-02,-7.279228250344070561e-02
8.226977877437648135e-02,3.007658974405343077e-02,-1.070358288284992826e-01
3.069933951290364574e-02,6.152045552124550676e-02,7.596625121941184833e-02
-4.858117276267292367e-02,-1.339071956269826669e-01,-7.238492749049030284e-02
8.756123939009687052e-03,-1.691239162012447839e-01,1.567375838233879201e-03
1.911093107728788487e-01,4.689129219057200371e-02,-9.953664264826198038e-02
1.598478330054337870e-01,7.641023116212750099e-02,-2.174279370554216620e-02
-8.379909970156719512e-02,8.363149600414719609e-02,-6.352723915111167796e-02
-2.092877816730375762e-01,1.363685049592902598e-01,5.422332563365522828e-02
1.041452794047161151e-01,2.394146117666244578e-01,6.820338909089629365e-02
-7.917167337529457116e-02,-5.840168230328842552e-02,-6.514653841982596949e-02
-4.242396499485896061e-02,-8.510046013257697994e-02,1.732366100617440952e-01
6.007997442988157605e-02,-2.122368145041162238e-02,2.205585444100447712e-01
-1.938906173285686874e-01,1.295236989692235829e-01,-3.415441815611057474e-02
2.476720974623726201e-01,3.075907260384470182e-02,-6.245748127676292033e-02
2.235218179551960727e-01,2.347095584649956657e-02,4.969246415982982862e-02
-1.441207533592996914e-01,-2.940794936741099666e-02,7.825279463440909522e-02
1.542312425288668298e-01,6.665502339405157683e-02,-1.013657504255969649e-01
-1.235698752295713992e-01,-2.523257406692096944e-02,1.044271204868313027e-02
-1.343137409704188434e-01,-1.443454184925931916e-01,-5.589976081753755127e-02
-1.807142791434903153e-02,3.099369930112018737e-02,-1.715993074139527189e-02
1.881932770300448476e-02,1.597407757539994755e-01,8.531355937573199821e-02
-1.171860990267143965e-01,3.451470487973264806e-02,-6.250472082321234524e-02
1.032821643180818205e-01,-1.161536836947515798e-02,-1.107293474269874373e-01
7.029511112276090601e-02,3.100290820536581449e-01,-8.239874926244768194e-02
8.364919163645782862e-02,-5.238674528575219119e-02,7.743005057682313423e-05
1.255641090458728404e-01,8.318349982496066330e-02,-9.765739772650089412e-02
2.032429866636039847e-02,-5.329202401138374151e-02,-1.461278303524601863e-01
-8.612721476134750642e-02,-1.076188251746938371e-02,-2.406730131952883600e-01
-6.243265322947759433e-02,4.037553076384583356e-02,-2.562759306011465066e-01
4.295938174707639168e-02,-1.432952217801426453e-01,1.404848571958145775e-01
5.264447056477101865e-03,3.816270830434637107e-02,8.273223328930050247e-02
-1.988001657526380084e-01,2.692326534795205784e-01,-2.078504623160425391e-01
-5.795678615302377913e-03,1.142801811699568210e-02,8.734961681516635601e-02
-8.894871064076677325e-02,7.517250898447110086e-02,2.241300733624830011e-01
-7.876472565536498521e-03,1.409437174155162287e-01,3.855228086852320601e-02
6.867546871546968690e-02,1.671461504938025755e-01,-1.201462715876752824e-01
4.217400907821584888e-02,-1.284701381409497356e-01,-1.826206852295568228e-01
-6.018235685027915199e-02,4.514312715472499488e-02,6.396317555319945732e-03
3.133794994171195530e-02,1.502692398831508291e-01,-1.954382025112747223e-01
2.157676107155881984e-01,-2.595652263436536988e-01,4.670936748253932957e-02
6.060342675588527989e-02,-1.147661188604901655e-02,9.119073087024900937e-02
-1.510269640887728360e-01,-1.717331268436010083e-01,5.686433089066578184e-02
9.605518069148183402e-02,-2.955293659609038726e-02,-3.630406842195185724e-02
1.993574369333192264e-01,-1.651363619541681149e-01,-8.281264965587860349e-02
-1.109996043564194651e-01,-3.128835952543461418e-02,-8.348018683763329395e-03
2.180885225468128311e-02,-3.273322294678725208e-02,2.944942856011881216e-01
-6.886860133932216910e-02,2.086004697962732524e-01,-2.340851547464246063e-01
2.155069790569012211e-01,-8.009887391061341899e-02,1.092056824173487789e-01
1.064332602007186795e-01,-1.258662902594144539e-01,9.167294170064456404e-02
-6.706807432195709129e-02,6.286615005668372280e-02,9.680391516751153669e-02
-4.691596520425216077e-02,8.593413578939572417e-02,-3.503352246270391435e-01
2.134830902395875862e-01,-4.006217572340762256e-01,8.276445277819766133e-02
3.136256855870458438e-01,5.910098029756294565e-03,6.573922065869254594e-02
-1.053490960252045396e-02,5.100277534436589710e-02,-1.203620842052904871e-01
3.091330952384660838e-02,-1.209151591250134938e-01,-1.271748541645014406e-02
6.342471401744510795e-02,2.828204314897826976e-01,-2.193904466604999492e-01
-3.652175441121961741e-02,9.886240176219787679e-02,1.660656449019348724e-01
-1.395270986815613790e-01,1.171711543329578831e-01,1.217305719677282960e-01
1.889848792693522017e-01,-2.098170120719915210e-02,-1.393815126045555020e-01
1.861200446444800927e-02,8.676625656755961036e-02,1.739149819568617250e-01
-1.672908660907236611e-01,-1.573418196733445129e-01,-1.380470235739322815e-01
-1.090045290634401864e-01,-1.601680878777857892e-02,-6.727026861848080241e-02
2.085312003173401540e-01,2.018827861031491921e-01,-4.086558778383696244e-02
1.681268776782421093e-01,2.035090946727679539e-01,-1.549489399127523259e-01
-1.403572785740085926e-01,-1.799782758629649149e-01,-1.878009205478256560e-01
5.004602809516738721e-03,5.010156191947851001e-02,2.425283808004475572e-01
4.061396879496050744e-02,-4.574088083338753719e-02,-7.727854430812129694e-02
2.811601389908531812e-01,3.731878098334484584e-02,1.502646605733272689e-01
4.549767273374290266e-02,4.537597013178301750e-04,1.461726477376921740e-01
-1.697315520514398046e-01,-1.875558459891646032e-02,2.679065055396650814e-03
1.686028035717874740e-01,1.825046661777012247e-01,-6.712301302123589719e-02
3.536544294368496044e-01,-4.012145806269317577e-02,-1.639965727232944037e-01
-9.922777209735468562e-02,2.336133776077898780e-02,-3.270365595538389340e-03
-2.020353218473249987e-02,2.205916788254504990e-01,-7.804387825293192249e-02
-1.174644205319059637e-01,-3.633287045862904630e-01,1.860740053934851687e-02
1.176410180722393395e-01,-1.307915956263720758e-01,-9.631695650248074669e-02
-1.415020150202249138e-01,-3.301485513181448561e-02,6.137805783849004104e-02
-7.509477822663790381e-02,-7.050345850075129261e-02,8.328137230063484275e-02
1.071811355076497108e-01,1.720787000912530132e-02,-1.176668876656565901e-02
-1.393249989193441896e-01,-4.549931141067303786e-03,1.047443236578249892e-01
-2.599861054265305005e-01,-1.229579150604956719e-02,-1.511620097329565704e-01
1.350656031655191047e-01,1.485096060497363979e-01,-8.715944993977596533e-02
-1.040161733921665804e-01,-3.342203693604860887e-02,-8.155146373861944797e-02
1.325502134019785616e-01,1.482071710368776940e-01,2.941575141419033312e-01
1.338486753279549135e-01,1.302991572819816313e-01,8.157697164379826282e-02
1.064319657211871550e-01,2.180814975310960968e-01,1.752972098576854789e-03
1.104936366660551894e-01,1.296222303389935049e-01,9.312537924160561864e-02
2.553244633466025260e-01,2.609573948667029408e-01,-1.813890899799993350e-01
-5.609164775464853259e-02,-2.682378630143612136e-02,-3.801472050740406505e-02
-1.542421879420644015e-01,-5.909424744237268962e-02,-4.017432347118313207e-02
-1.761361671980876120e-01,-3.285059432717492289e-02,1.336664743398184862e-01
-1.491928950930549169e-01,8.278309712596798597e-02,-1.276122823212403889e-01
-2.213235345948759702e-01,-4.260750870649124972e-02,-8.442705028464286832e-02
2.835887034840632592e-02,-5.503256496403802212e-02,1.203000090659947924e-01
3.128686165107602384e-03,2.599311463898289487e-01,-1.125907589236068151e-01
-7.883992325963584680e-02,-1.130868984309134628e-01,-2.761725642362365396e-01
-6.553693022238310517e-02,8.370215959907202630e-02,1.247850667525326751e-01
-1.826886136454351772e-01,7.611613324809771153e-02,-1.276693652836264660e-02
2.419396468731994376e-01,2.266506727224210649e-01,-1.603899184504575248e-01
-1.080872126669232547e-01,1.036522048616081437e-01,-2.720933937939883362e-01
-9.303366563482858009e-02,1.138185335204005277e-01,3.156735548451630041e-02
-9.184043324497567773e-02,-1.242976956478340361e-01,5.081432724980907562e-02
3.923336737533680840e-02,1.739674707436311696e-01,-2.436673363198072761e-01
5.950523500065248161e-02,-1.634728836929450480e-01,8.889630066957862620e-02
5.689401106172311401e-02,9.579512750954573275e-02,6.393930093417922456e-02
-5.851034840892704175e-02,-4.675733314679134112e-02,-1.144618654450705736e-01
1.016028717103844153e-01,1.648430841605669495e-01,-6.046235346915723730e-02
1.156774762589682370e-01,1.118277155146243512e-01,1.449463331969234881e-01
-1.737757783154880720e-02,-2.782691851394498289e-02,-7.636600226171336332e-03
-6.691014345230729410e-02,-5.847018146409128925e-02,1.229334811853348558e-01
2.873326179599258040e-02,3.716225877166751818e-02,-1.095118902917533166e-01
-1.895116355996445401e-01,-1.018171519019759053e-01,-9.227385698439085487e-03
-8.652368267188723094e-02,9.288720345098029629e-02,-1.631023002166365476e-01
7.303407840025016862e-02,-2.153127818769765833e-01,-1.742323472419441133e-01
-3.269672873959487275e-02,2.038504139989044672e-02,7.114902258605376034e-03
1.606926118240748769e-01,-5.953917823924020913e-02,-1.347780815488070216e-01
-4.154388724089011498e-02,2.365965594854637644e-01,-5.439770616720366464e-02
-8.740295675720148594e-02,-4.473085696503488473e-02,3.324855515249745125e-02
1.610254724693626627e-01,-1.871803114556232217e-01,1.417375000186685274e-01
3.946780932268552367e-02,7.529779641964567949e-02,1.053636665187864530e-01
-1.072027541984010013e-01,-3.386138474619128647e-01,1.357523904884569144e-01
4.519537594960894994e-02,8.212501500500948848e-02,-1.365565133099273798e-01
