accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
7.483375664780029211e-04,5.665938840561756187e-03,-9.800668746229700190e+00
-1.014432930310540416e-02,-7.879810705356583150e-03,-9.786058200278061392e+00
-4.969164176620193170e-03,-6.530864892541850264e-03,-9.790038605990732279e+00
-8.187785320248323244e-04,5.844477920411729737e-04,-9.799297412154094999e+00
-7.680450564726028218e-04,-1.198524215544160762e-02,-9.798428786151545111e+00
-2.591963022606035612e-03,2.503794783649656176e-03,-9.808474077421086790e+00
2.350214027130383652e-03,1.764220875181643673e-03,-9.802118663249233421e+00
-1.522704760498034236e-02,6.614408247392807201e-03,-9.805827551166675704e+00
-3.419828119179761736e-03,1.040181037806665616e-03,-9.778220154525739005e+00
-5.995339108000266419e-03,-2.641925446868657358e-03,-9.799289264531047650e+00
-6.964210607584646849e-03,6.696429146279523487e-03,-9.787682531063502722e+00
6.485405003288077785e-03,7.003825060502589031e-03,-9.787739404051901460e+00
-5.247101970940673023e-03,-9.248996492072565634e-03,-9.794693749586041776e+00
-3.708313917985980607e-03,1.947871274075429690e-02,-9.795585261815201505e+00
1.324620480631906818e-04,1.969885383104496429e-02,-9.789336947624104113e+00
1.698918620718114711e-03,-1.125325911534690894e-02,-9.800454289554814125e+00
1.326535953101408254e-02,-8.783041527917130262e-03,-9.786970597345000300e+00
-1.317686929010576831e-02,3.283776599856335146e-03,-9.816921649565463426e+00
2.773578065697727274e-03,-1.441077777670709539e-03,-9.784035389463753063e+00
6.008275084081907656e-03,5.729598185534394948e-03,-9.786688895404235922e+00
-8.388497598325040522e-03,-3.848101758947764049e-03,-9.795983655235726673e+00
-5.066133376064075287e-03,9.953887658665604501e-03,-9.796954161651568072e+00
5.017803347972363097e-03,-4.081064616884315897e-03,-9.788551742186818672e+00
-2.405933618285607031e-03,-4.414565866507788009e-04,-9.794962081620909089e+00
3.458381146700598673e-03,-4.117452342373494750e-03,-9.791971347237158341e+00
8.184739502338589032e-03,1.295898631625308451e-03,-9.790339314024388173e+00
-4.945047369689291490e-03,-8.331152126561099797e-03,-9.788052233320671647e+00
-1.533700464883729422e-02,7.802380827452325661e-03,-9.785078038115653243e+00
6.665045639735806514e-03,-7.913551658837910882e-03,-9.794962779751632098e+00
1.915932114472662434e-03,-3.759241319287196480e-03,-9.821075970143727574e+00
6.212066531330905084e-03,-1.503953971643973327e-02,-9.803125330460705555e+00
-4.944786954134646785e-04,-1.751542438463738263e-02,-9.796067186648359737e+00
5.614587183961128325e-03,5.804750418263124670e-03,-9.791369921974890644e+00
8.276201821170276265e-03,1.243566731069590918e-02,-9.778535994499399919e+00
8.060097380714077026e-03,5.752193817820810268e-03,-9.809800675416582294e+00
1.507623032274230113e-02,3.097077489851102119e-03,-9.800673998116714358e+00
6.366746788940584253e-04,-1.440256900281251806e-02,-9.799028828061855378e+00
1.430064025354566004e-02,-8.150466979379161411e-03,-9.793724374822504686e+00
8.111564070880513191e-03,-1.437235968040446836e-02,-9.790487002356210056e+00
-2.662514654934189026e-02,-1.406730753806539717e-02,-9.794476478119166885e+00
9.740796911026366675e-03,9.846973745207628428e-03,-9.813408761648890533e+00
6.520260038712194853e-03,3.218750129389943895e-03,-9.805393824155524740e+00
-5.660621136592232545e-03,-1.122739859671523406e-02,-9.783341121116963635e+00
1.512525196985965194e-02,6.692812131275048797e-04,-9.803368415785085332e+00
-1.182621171519659432e-02,1.001495018934420861e-02,-9.807980888275997344e+00
-1.161503478041970953e-02,-9.320417588638524320e-03,-9.798179073821852825e+00
-1.361880722432807144e-03,-4.612445337553610671e-03,-9.783132099833741435e+00
-3.908718960851247787e-03,-1.062767184272541895e-02,-9.805697231431416583e+00
-9.879452528419188986e-04,-1.401901428011225739e-03,-9.796056646089292386e+00
3.175755988526460499e-03,4.333513486440726883e-03,-9.813761011368066889e+00
-3.825016519314961786e-03,1.266045150621136154e-04,-9.820202623846679302e+00
-1.602200395026021421e-02,-1.030592454482317545e-02,-9.806316705145233570e+00
-1.982336088767443390e-03,2.549910573725426392e-03,-9.796732216272568294e+00
1.279118519694435845e-02,-8.271757066816983611e-03,-9.800747915226265761e+00
-8.556390729106928134e-03,-9.154035307332676272e-03,-9.798772247992433293e+00
6.262853615115908379e-03,1.656820458165502753e-03,-9.792289086188743497e+00
2.328685816161072254e-04,5.423143922606002941e-03,-9.805102108160458130e+00
1.195383945114088069e-02,-9.946407009754955082e-04,-9.785563454646293735e+00
-1.856898542142991840e-02,-1.169165628339979834e-02,-9.812714224055465451e+00
-2.947818948438494027e-03,-3.202194469778257314e-03,-9.788185008421558919e+00
-1.544383418673148968e-02,-2.004636852533395186e-03,-9.798137354871171212e+00
4.135726524800933772e-03,2.588356079511546209e-03,-9.791464918436993514e+00
8.306696272725223179e-03,1.139520315907619451e-02,-9.802220725789192457e+00
2.465797748365667220e-03,1.581301782736568157e-02,-9.803983452701009682e+00
4.996984377267474527e-03,6.004236436678222696e-04,-9.795838451999916430e+00
-1.313566779533404576e-03,-7.214739729962413826e-03,-9.792334034747314675e+00
-5.174027255795934227e-03,3.018754507133991280e-03,-9.808188448178174923e+00
-8.473545936067403139e-03,1.497253930305679969e-03,-9.795058919100975814e+00
4.002656758612711980e-03,2.477750853024463591e-04,-9.799390094397670836e+00
1.199957520500788410e-02,3.758861986054191050e-03,-9.797198172305414232e+00
-1.307155961271175889e-03,-1.112336738278984181e-03,-9.804389082150413159e+00
-6.179459557537358289e-03,-8.441860512995743790e-03,-9.795007092898055490e+00
-1.955562080577439438e-02,1.805247401075163157e-03,-9.795153103853719401e+00
-1.626986930217106178e-02,6.712460405289746163e-03,-9.799114307934592816e+00
-5.653374660201909273e-04,1.105568018644660817e-02,-9.799084256064222842e+00
2.410516184109552391e-03,8.994994321491195724e-03,-9.798229385333913299e+00
-1.088457710059534400e-02,-4.278323145791264261e-04,-9.792989574122701768e+00
3.027177539324102558e-03,1.293106215017230613e-03,-9.789206288485710061e+00
1.865637231111834816e-03,9.664218882771918526e-03,-9.796039986070468331e+00
-8.169925723781197927e-03,3.040521027390173485e-03,-9.802983160763400150e+00
-3.938822352354021637e-03,-3.002242225673672042e-03,-9.806429539447300670e+00
-1.692950932994856383e-02,2.518393153102069931e-03,-9.793362002340407102e+00
-5.053331687375637628e-03,9.896079073616792683e-04,-9.805279540472971789e+00
2.483824788666810605e-03,1.082195870755773941e-02,-9.790901469806945201e+00
-6.559240580918921509e-03,-4.397816496453278365e-03,-9.776803528056882797e+00
3.435033939113651524e-03,4.506744204209169567e-03,-9.807217994447711362e+00
5.547897767301169202e-03,-3.716185135855043682e-03,-9.783635709281398363e+00
-4.107301804148715332e-03,-5.486179154286445047e-04,-9.793156260004645119e+00
4.184516528185292482e-03,6.684532793728150020e-03,-9.780736728752904341e+00
4.542072063664265996e-03,-7.827023909759150619e-03,-9.795941893286007840e+00
1.899246848703284307e-02,8.412096067747711070e-03,-9.793188307471670129e+00
7.066434057377785592e-03,-1.663180875551790311e-02,-9.793384166108277000e+00
8.451099429903590268e-03,1.490660658643219207e-02,-9.786649719263836644e+00
1.013077403192735176e-02,-2.680747078629435679e-03,-9.785198338138378915e+00
1.471776448779561070e-02,-5.069840864720810518e-03,-9.792363886363450121e+00
-2.066548674338739011e-03,-3.394296610052532134e-03,-9.794133845195679200e+00
-8.592685399357775228e-03,2.578740408975989384e-02,-9.789087008492526110e+00
-1.290557877993468022e-02,9.802956016057768653e-04,-9.808756663094992945e+00
-7.606438254565280836e-04,1.463999491028464620e-02,-9.803705844921397627e+00
8.985337709858621028e-03,-4.193420827033490089e-03,-9.787289175407599018e+00
2.967377498384215942e-04,-1.159812974550863095e-02,-9.818738963686984178e+00
